,"焦炭,wt%","硫含量,μg/g.1",S-ZORB.PT_2502.DACA,S-ZORB.PT_9403.PV,辛烷值RON,S-ZORB.PT_1201.PV,S-ZORB.LC_1201.PV,S-ZORB.PT_2301.PV,S-ZORB.AT-0005.DACA.PV,RON损失,S-ZORB.PT_1602A.PV,"焦炭,wt%.1","硫含量,μg/g",S-ZORB.PT_2501.DACA,S-ZORB.PT_2905.DACA,S-ZORB.PT_2101.PV,S-ZORB.PC_3101.DACA,S-ZORB.PT_1601.DACA,S-ZORB.AT-0009.DACA.PV,S-ZORB.PC_5101.PV,S-ZORB.AT-0006.DACA.PV,S-ZORB.PC_1202.PV,S-ZORB.PT_9001.PV
0,2.32,3.2,0.15437796,0.9944950199999999,90.6,2.31469985,50.018776,2.404997599999999,0.518146705,1.379999999999995,0.386509955,1.84,188.0,0.137880145,0.10900028,2.39399055,0.4002584399999999,2.52311205,0.458893155,0.65213752,0.49617347,2.2896772,0.4270086400000001
1,2.37,3.2,0.160220625,0.99675382,90.5,2.316185550000001,50.0326935,2.405063300000001,0.5034240400000002,1.179999999999993,0.3855367749999999,0.55,169.0,0.14351407,0.109006525,2.39411295,0.398007315,2.51755125,0.465308955,0.6521101949999999,0.497675615,2.289765,0.420079665
2,2.43,3.2,0.15363531,0.9971267000000001,90.7,2.3164667,50.01792450000001,2.4059577,0.5093946949999999,1.379999999999995,0.38678164,1.89,177.0,0.13634656,0.108169625,2.3945447,0.4003946299999999,2.5286086,0.4540534800000001,0.6523945500000001,0.4886267049999999,2.29020055,0.4232674800000001
3,3.08,3.2,0.16278265,0.9955059599999998,90.4,2.3156715,50.01423100000001,2.40471825,0.5101734950000001,1.379999999999995,0.38427097,0.98,159.0,0.14554975,0.1086587,2.392854450000001,0.4027809949999999,2.52708535,0.4719475,0.6520891349999999,0.471604635,2.2884897,0.4145615350000001
4,2.45,3.2,0.15967246,0.9977253399999997,89.6,2.31664335,49.928912,2.4053802,0.5075405250000001,1.279999999999987,0.3858069650000001,0.83,173.0,0.14242206,0.10852954,2.39271545,0.3982841149999999,2.5288266,0.4606176749999999,0.652212625,0.489053105,2.28938635,0.4172121750000001
5,2.31,3.2,0.15819948,0.996091675,91.0,2.29808015,49.96812050000001,2.38632185,0.506298105,1.409999999999997,0.385940835,0.88,163.0,0.14079347,0.108352885,2.37484205,0.3993976149999999,2.5045912,0.46169352,0.6521336500000001,0.5002160649999999,2.27020035,0.41929653
6,2.38,4.6,0.15991428,0.995461865,90.4,2.2968161,49.99192600000001,2.38557085,0.5054821949999999,1.200000000000017,0.385772275,0.6633333333333333,209.0,0.14258511,0.108354955,2.37441035,0.39890321,2.5099329,0.4622495899999999,0.6521015900000001,0.4788546050000001,2.27011275,0.417777015
7,3.0,6.6,0.159293215,0.9953946049999999,90.5,2.30011185,50.0166985,2.38434905,0.5058900749999999,1.300000000000011,0.3866935500000001,0.83,195.0,0.14155585,0.108385305,2.37276025,0.396375455,2.5144638,0.44177823,0.65198405,0.467061125,2.27066135,0.4324458799999999
8,2.32,3.2,0.159192185,0.9957995299999999,90.4,2.2992358,49.99522899999999,2.38629185,0.514772045,1.100000000000009,0.39164921,0.93,165.0,0.141811605,0.108790475,2.37463285,0.404888535,2.51363355,0.472410905,0.6535279,0.48558564,2.27077045,0.511090685
9,2.32,3.2,0.157463965,0.9954721050000002,90.2,2.2997305,49.98261100000001,2.38473975,0.520297885,1.400000000000006,0.38704533,0.95,159.0,0.140141465,0.108569895,2.37346455,0.3977175150000001,2.511330550000001,0.473597965,0.6523322250000001,0.4830455949999999,2.2696994,0.4542166099999999
10,1.99,3.2,0.152571925,0.99477419,90.2,2.2820537,49.998923,2.3640848,0.515977355,1.300000000000011,0.386170975,0.56,85.0,0.134967205,0.10922182,2.35316555,0.40109219,2.49210405,0.44952918,0.65203601,0.48953528,2.260301150000001,0.414755555
11,2.01,3.2,0.15221329,0.9949842449999997,90.2,2.28242005,50.005473,2.36516405,0.53426087,1.300000000000011,0.38629338,0.62,117.0,0.13361125,0.10898137,2.3540646,0.40051094,2.489179999999999,0.4722441099999999,0.6520541,0.4799669000000001,2.26049425,0.4153650899999999
12,1.74,6.3,0.155555335,0.9947877000000002,89.2,2.28261975,49.994952,2.3637789,0.5146794800000001,1.500000000000014,0.387849955,0.81,103.0,0.13808093,0.108497125,2.3519306,0.397985615,2.4876391,0.4699449299999999,0.6521944999999999,0.483601415,2.2594907,0.423575585
13,2.06,3.2,0.158688605,0.9943684599999999,86.8,2.28320045,50.0196485,2.364586650000001,0.513993105,1.400000000000006,0.3856571150000001,0.97,83.0,0.143025935,0.108454295,2.35315,0.39925867,2.47292995,0.4632508750000001,0.65175817,0.489145805,2.26015575,0.4166696200000001
14,2.03,3.2,0.150613385,0.9934284950000001,87.8,2.2841633,50.004766,2.366141,0.52448875,1.700000000000003,0.385494105,0.55,121.0,0.135680325,0.108173415,2.35508605,0.3956955200000001,2.4823107,0.471038765,0.6598861550000001,0.4764811750000001,2.2598529,0.488206465
15,2.06,3.2,0.14250161,0.9956659350000001,88.4,2.28444585,49.9982915,2.36595165,0.5092092549999999,1.700000000000017,0.38573613,0.5,115.0,0.127540645,0.108349915,2.35497145,0.398741985,2.48393955,0.4646601599999999,0.6600482299999999,0.48638294,2.2599405,0.411720385
16,1.74,4.4,0.151971255,0.9937581549999999,87.2,2.283902049999999,49.99307749999999,2.36496605,0.5273069499999999,1.100000000000009,0.3851471750000001,0.73,77.0,0.13651168,0.10835281,2.3540291,0.39952136,2.4826611,0.4706493999999999,0.65996155,0.4890344849999999,2.2600868,0.41545636
17,1.76,3.2,0.148937985,0.9929086699999999,88.0,2.300229,49.9943945,2.38153745,0.53201671,1.509999999999991,0.3861255500000001,0.75,108.0,0.134066475,0.10831216,2.37128275,0.39944956,2.4992528,0.460024625,0.66010493,0.4888494049999998,2.27983385,0.411515795
18,1.755,3.2,0.15156745,0.993801765,88.2,2.3246736,49.99357699999999,2.40898295,0.5116198799999999,1.109999999999999,0.386303,0.8186666666666667,98.16999999999999,0.135901955,0.10804943,2.397455299999999,0.398461105,2.527319099999999,0.47153955,0.660003115,0.4857154149999999,2.3003833,0.4154151600000001
19,1.64,3.2,0.154142005,0.993935325,88.8,2.36523575,49.9911465,2.4544499,0.5342233200000001,1.209999999999994,0.38574224,0.71,117.0,0.138732715,0.107545535,2.4422589,0.396837585,2.572353,0.47079786,0.65993039,0.5039801200000001,2.34025225,0.4144480100000001
20,1.669868055555555,3.2,0.16065722,0.9985128,88.1,2.36370555,50.02252549999999,2.4523514,0.5144193800000001,1.509999999999991,0.38479613,0.5273888888888889,111.0,0.144539785,0.107453525,2.44001365,0.4025476100000001,2.568608950000001,0.46833122,0.6600034100000001,0.4876812800000001,2.33957585,0.417028175
21,1.71,3.2,0.177183205,0.9950973699999999,88.2,2.36439695,49.99292899999999,2.4675988,0.5182396,1.010000000000005,0.3843942900000001,0.58,57.0,0.16397181,0.107915521,2.4470768,0.3995222900000001,2.5887987,0.4731528050000001,0.6598912150000001,0.5016622449999999,2.3395708,0.4171942000000001
22,1.66,3.2,0.154413705,0.9927240900000001,89.6,2.369150750000001,50.037851,2.4640118,0.5049072,1.609999999999985,0.38191757,0.57,148.0,0.13868843,0.108050185,2.45280685,0.39788153,2.56825285,0.4567239,0.659903375,0.474052085,2.3399242,0.4119528200000001
23,1.63,3.2,0.156580755,0.9937850750000001,89.0,2.3671065,50.004953,2.46375695,0.53101566,1.409999999999997,0.3825688199999999,0.54,131.0,0.14139333,0.108081045,2.45192225,0.400135635,2.584274850000001,0.47982825,0.66008356,0.4780203299999999,2.33959225,0.41697365
24,1.62,3.2,0.15621395,0.995105315,89.3,2.3668774,50.0085715,2.46144385,0.5239877300000001,1.409999999999997,0.3828135950000001,0.54,222.0,0.1403453,0.108268305,2.449264,0.401367875,2.56785995,0.47378342,0.66018361,0.473941095,2.3390424,0.41662882
25,1.01,3.2,0.157151235,0.9938189150000001,89.2,2.36531445,50.01858899999999,2.4631216,0.5152912150000001,1.510000000000005,0.38114909,0.48,125.0,0.14200469,0.107978075,2.452038949999999,0.398752935,2.58097145,0.4705938200000001,0.6600625049999999,0.4703989099999999,2.3380121,0.41676497
26,1.63,3.2,0.158353845,0.99465316,88.7,2.3690708,49.99298399999999,2.46373685,0.5253228799999999,1.409999999999997,0.384673355,0.41,156.0,0.14332293,0.10775534,2.4513024,0.399803735,2.57960625,0.4713354699999999,0.66001202,0.4720864949999999,2.339923450000001,0.4215077500000001
27,1.68,3.2,0.157291055,0.9951043049999999,89.0,2.3711595,50.00202100000001,2.46362905,0.5156992599999999,1.109999999999999,0.3826437250000001,0.55,170.0,0.1419509,0.107843785,2.45096865,0.397686545,2.5791589,0.46608756,0.6597445699999999,0.480801565,2.34059215,0.420944065
28,1.79,3.2,0.15074638,0.9938068650000002,89.7,2.37237825,50.014082,2.46305055,0.54449628,1.409999999999997,0.38234964,0.6525,206.0,0.136318745,0.107426295,2.45015305,0.40344128,2.5774231,0.4653461550000001,0.6600901100000002,0.473403155,2.34261175,0.4173594649999999
29,1.736666666666667,3.2,0.160905865,0.9942284000000001,89.2,2.37045845,50.00534099999999,2.46808395,0.52320875,1.209999999999994,0.382523015,0.5733333333333334,185.0,0.14590885,0.107118995,2.4553758,0.399000235,2.58130295,0.4660324849999999,0.6599841200000002,0.4636123949999998,2.3404905,0.4247929499999999
30,1.73,3.2,0.15745053,0.9941973450000001,89.1,2.3702309,49.9907375,2.4637502,0.52497059,1.709999999999994,0.38183968,0.5225,172.0,0.14229962,0.10716796,2.45172855,0.39992561,2.595593500000001,0.466180765,0.6599829500000001,0.48148761,2.3401638,0.4207595
31,1.796666666666667,3.2,0.159076465,0.9939742749999997,88.5,2.3494705,50.02555049999999,2.44277265,0.5323875699999999,1.409999999999997,0.3823852150000001,0.5766666666666667,133.0,0.143907295,0.10707545,2.42999535,0.4001209599999999,2.5629367,0.48761625,0.660096915,0.4865315949999999,2.32000255,0.4263575550000001
32,2.05,3.2,0.155136185,0.9957137100000001,88.4,2.3505631,50.0071425,2.44505475,0.517331145,1.109999999999999,0.38057536,1.91,189.0,0.139854405,0.106665455,2.4316754,0.4023624699999999,2.5596454,0.4723554850000001,0.6598300650000001,0.4800228049999999,2.32039305,0.4314494299999999
33,1.75,3.2,0.150257415,0.9933436400000002,88.1,2.35243395,50.0243435,2.44635425,0.51872138,0.9099999999999966,0.380302365,0.61,144.0,0.135738915,0.106919565,2.4330574,0.4018129499999999,2.56970375,0.4953667900000001,0.6600702199999999,0.47377391,2.3221432,0.41713427
34,2.0,4.8,0.154145635,0.9943099849999999,88.7,2.35047115,50.04404949999999,2.444601850000001,0.524470035,1.109999999999999,0.38413801,0.9333333333333333,210.0,0.13925365,0.10663571,2.43119135,0.399600955,2.57022225,0.4597644,0.6599820399999999,0.473699785,2.32032555,0.43273618
35,1.813333333333333,3.2,0.156321225,0.9939385749999999,87.5,2.35028555,49.9804955,2.4440166,0.52039031,1.409999999999997,0.38508708,0.5733333333333334,137.0,0.1419477,0.106659145,2.43072415,0.400570875,2.56212665,0.470872215,0.6600417150000001,0.48018964,2.320304,0.4177899800000001
36,1.733333333333333,3.2,0.15203839,0.9929331950000003,89.4,2.35115125,49.995786,2.4430797,0.522708545,1.310000000000002,0.384722885,0.7466666666666667,168.0,0.13700212,0.1067271,2.4294957,0.40597256,2.5612009,0.4604139200000001,0.6600277500000001,0.48445433,2.32050975,0.412912535
37,2.23,3.2,0.1646236200000001,0.99295596,89.1,2.351492449999999,49.9960275,2.448702050000001,0.51966732,1.309999999999988,0.3868359750000001,0.86,154.0,0.149415215,0.10687245,2.43229745,0.39802531,2.576845850000001,0.4716135300000001,0.6600648600000001,0.477816235,2.3194718,0.41625506
